"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"PRTO80","","PRTO80","Prunus tomentosa","Nanking cherry","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Red","Single Crown","Moderate","8","8.0","Long","Irregular","None","Yes","Yes","No","Medium","Medium","5.7","7.2","20","Intolerant","-38","Late Spring","Routinely Available","Yes","Medium","Yes"
"PRVI","","PRVI","Prunus virginiana","chokecherry","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","White","Green","Black","Multiple Stem","Rapid","15","25","Short","Erect","Severe","Yes","Yes","Yes","Medium","Medium","5.2","8.4","20","Intolerant","-43","Mid Spring","Routinely Available","Yes","Medium","Yes"
"PRVID","","PRVID","Prunus virginiana var. demissa","western chokecherry","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Red","Thicket Forming","Rapid","20","20","Short","Erect","Severe","Yes","Yes","Yes","Medium","Medium","5.5","8.0","24","Intermediate","-38","Spring","Routinely Available","Yes","Medium","No"
"PSJU3","","PSJU3","Psathyrostachys juncea","Russian wildrye","NA (L48, AK, CAN)","Monocot","Spring, Summer, Fall","Yellow","Green","Brown","Bunch","Rapid","","3.0","Moderate","Erect","None","No","Yes","Yes","High","Low","6.5","9.0","16","Intolerant","-43","Early Spring","Routinely Available","No","Low","No"
"PSSPS","","PSSPS","Pseudoroegneria spicata ssp. spicata","bluebunch wheatgrass","NA (L48, AK, CAN)","Monocot","Spring, Summer, Fall","Yellow","Gray-Green","Green","Bunch","Rapid","","3.0","Long","Erect","None","Yes","Yes","Yes","High","Low","6.6","8.4","10","Intolerant","-38","Early Summer","Routinely Available","No","Medium","No"
"PSMA","","PSMA","Pseudotsuga macrocarpa","bigcone Douglas-fir","NA (L48)","Gymnosperm","Spring","Yellow","Green","Brown","Single Stem","Moderate","24","75","Long","Erect","None","Yes","Yes","No","High","Low","5.0","7.0","30","Intolerant","-13","Early Spring","Routinely Available","Yes","Medium","No"
"PSME","","PSME","Pseudotsuga menziesii","Douglas-fir","NA (L48, CAN)","Gymnosperm","Spring and Summer","","Green","Brown","Single Stem","Moderate","40","200","Long","Conical","None","Yes","Yes","No","Low","Medium","5.0","7.5","26","Intermediate","-33","Mid Spring","Routinely Available","Yes","High","No"
"PSGU","","PSGU","Psidium guajava","guava","NA (L48), HI, PR, VI","Dicot","Year Round","White","Green","Yellow","Single Stem","Moderate","25","25","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","5.5","7.0","36","Intermediate","33","Spring","Routinely Available","Yes","Medium","Yes"
"PTAQ","","PTAQ","Pteridium aquilinum","western brackenfern","NA (L48, AK, CAN, SPM), HI","Fern","Spring and Summer","Green","Dark Green","Brown","Rhizomatous","Moderate","","6.6","Moderate","Erect","Slight","Yes","Yes","No","Medium","Medium","4.5","7.0","10","Tolerant","-43","Summer","Routinely Available","No","Medium","No"
"PUNU2","","PUNU2","Puccinellia nuttalliana","Nuttall's alkaligrass","NA (L48, AK, CAN, GL)","Monocot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Slow","","0.8","Short","Erect","None","Yes","Yes","Yes","Low","Medium","6.5","8.5","10","Intolerant","-38","Late Spring","Routinely Available","Yes","Low","No"
"PUGR2","","PUGR2","Punica granatum","pomegranate","NA (L48), PR, VI","Dicot","Spring and Summer","Orange","Green","Red","Stoloniferous","Slow","20","20","Moderate","Vase","None","No","Yes","Yes","None","Medium","6.0","6.9","20","Intermediate","-13","Spring","Routinely Available","Yes","Medium","Yes"
"PUGL2","","PUGL2","Purshia glandulosa","desert bitterbrush","NA (L48)","Dicot","Spring, Summer, Fall","Yellow","Dark Green","Yellow","Multiple Stem","Slow","3","5.0","Moderate","Rounded","None","Yes","Yes","No","High","Low","6.8","8.0","12","Intolerant","-13","Spring","Routinely Available","Yes","High","No"
"PUTR2","","PUTR2","Purshia tridentata","antelope bitterbrush","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Moderate","6","6.0","Long","Erect","None","Yes","Yes","No","High","Low","5.6","8.4","20","Intermediate","-36","Early Spring","Routinely Available","Yes","Medium","No"
"PYCO2","","PYCO2","Pyracantha coccinea","scarlet firethorn","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Orange","Single Crown","Rapid","8","8.0","Moderate","Irregular","None","No","Yes","Yes","Low","Medium","5.8","8.0","18","Intolerant","12","Late Spring","Routinely Available","Yes","Medium","No"
"PYCO","","PYCO","Pyrus communis","common pear","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Yellow","Single Stem","Rapid","40","50","Short","Erect","None","No","Yes","Yes","Low","Medium","5.2","6.7","30","Intolerant","-18","Early Spring","Routinely Available","Yes","Low","Yes"
"QUAG","","QUAG","Quercus agrifolia","California live oak","NA (L48)","Dicot","Spring, Summer, Fall","Yellow","Green","Brown","Single Crown","Slow","25","70","Long","Irregular","None","Yes","Yes","No","Medium","Medium","5.5","7.5","36","Intolerant","7","Early Spring","Routinely Available","Yes","High","No"
"QUAL","","QUAL","Quercus alba","white oak","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","25","100","Long","Erect","None","Yes","Yes","No","Medium","Medium","4.5","6.8","48","Intermediate","-43","Mid Spring","Routinely Available","Yes","High","No"
"QUBI","","QUBI","Quercus bicolor","swamp white oak","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","30","100","Long","Erect","None","Yes","Yes","Yes","Low","High","4.3","6.5","40","Intermediate","-28","Early Spring","Routinely Available","Yes","High","No"
"QUCH2","","QUCH2","Quercus chrysolepis","canyon live oak","NA (L48)","Dicot","Spring, Summer, Fall","Yellow","Green","Brown","Single Stem","Slow","30","90","Long","Erect","None","Yes","Yes","Yes","High","Medium","4.5","7.5","42","Tolerant","11","Late Spring","Routinely Available","Yes","High","No"
"QUFA","","QUFA","Quercus falcata","southern red oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","35","75","Long","Erect","None","Yes","Yes","Yes","High","Medium","4.8","7.0","36","Intermediate","-13","Mid Spring","Routinely Available","Yes","Low","No"
"QULA3","","QULA3","Quercus laurifolia","laurel oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","28","70","Short","Erect","None","Yes","Yes","No","Low","Medium","4.2","6.5","36","Tolerant","-3","Early Spring","Routinely Available","Yes","Medium","No"
"QULY","","QULY","Quercus lyrata","overcup oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","30","80","Long","Erect","None","No","Yes","Yes","None","High","4.5","7.5","24","Intermediate","-23","Mid Spring","Routinely Available","Yes","Medium","No"
"QUMA2","","QUMA2","Quercus macrocarpa","bur oak","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","25","100","Long","Erect","None","Yes","Yes","Yes","High","Medium","4.5","7.5","28","Intermediate","-38","Mid Spring","Routinely Available","Yes","Medium","No"
"QUMA3","","QUMA3","Quercus marilandica","blackjack oak","NA (L48)","Dicot","Spring and Summer","Yellow","Dark Green","Brown","Single Stem","Slow","20","25","Long","Erect","None","Yes","Yes","No","High","Low","4.6","5.6","24","Intolerant","-13","Mid Spring","Routinely Available","Yes","Medium","No"
"QUMI","","QUMI","Quercus michauxii","swamp chestnut oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","35","80","Moderate","Erect","None","No","Yes","Yes","Low","Medium","4.5","6.5","28","Intolerant","-20","Mid Spring","Routinely Available","Yes","Medium","No"
"QUMO4","","QUMO4","Quercus montana","chestnut oak","NA (L48)","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUMO4","QUPR2","QUPR2","Quercus prinus","","","","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","25","73","Long","Erect","None","Yes","Yes","No","Medium","Medium","4.5","6.5","36","Intermediate","-30","Mid Spring","Routinely Available","Yes","Medium","No"
"QUNI","","QUNI","Quercus nigra","water oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","30","90","Moderate","Erect","None","No","Yes","Yes","Low","High","4.8","7.3","40","Intolerant","-20","Mid Spring","Routinely Available","Yes","High","No"
"QUPA5","","QUPA5","Quercus pagoda","cherrybark oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","60","120","Moderate","Erect","None","No","Yes","Yes","Low","Medium","4.5","6.0","36","Intolerant","-7","Mid Spring","Routinely Available","Yes","Medium","No"
"QUPA2","","QUPA2","Quercus palustris","pin oak","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Colonizing","Rapid","40","100","Moderate","Erect","None","No","Yes","Yes","Low","High","4.5","6.5","30","Intolerant","-33","Spring","Routinely Available","Yes","High","No"
"QUPH","","QUPH","Quercus phellos","willow oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","60","100","Long","Erect","None","No","Yes","Yes","None","High","4.5","6.5","12","Intolerant","-23","Mid Spring","Routinely Available","Yes","Medium","No"
"QURU","","QURU","Quercus rubra","northern red oak","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","36","81","Long","Erect","None","Yes","Yes","Yes","Low","Medium","4.3","7.3","36","Intermediate","-35","Mid Spring","Routinely Available","Yes","Medium","No"
"QUSH","","QUSH","Quercus shumardii","Shumard's oak","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","35","100","Long","Erect","None","Yes","Yes","No","High","Medium","5.0","7.6","40","Intolerant","-22","Early Spring","Routinely Available","Yes","Medium","No"
"QUST","","QUST","Quercus stellata","post oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","25","60","Long","Erect","Moderate","Yes","Yes","No","High","Medium","4.8","6.5","36","Intolerant","-33","Early Spring","Routinely Available","Yes","Medium","No"
"QUTE","","QUTE","Quercus texana","Nuttall oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","40","110","Long","Erect","None","No","No","Yes","None","Medium","4.5","5.5","40","Intolerant","-18","Early Spring","Routinely Available","Yes","High","No"
"QUVE","","QUVE","Quercus velutina","black oak","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Moderate","25","80","Moderate","Erect","None","Yes","Yes","Yes","Low","Medium","4.5","6.5","40","Intermediate","-30","Early Spring","Routinely Available","Yes","Medium","No"
"QUVI","","QUVI","Quercus virginiana","live oak","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","25","50","Long","Rounded","None","Yes","Yes","Yes","Medium","Medium","4.5","7.3","40","Intermediate","7","Early Spring","Routinely Available","Yes","Low","No"
"RAAB","","RAAB","Ranunculus abortivus","littleleaf buttercup","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","Yellow","Green","Black","Multiple Stem","Moderate","","2.8","Short","Erect","None","No","Yes","Yes","Low","Medium","5.0","7.5","4","Tolerant","-43","Spring","Routinely Available","No","Medium","No"
"RAFL2","","RAFL2","Ranunculus flammula","greater creeping spearwort","NA (L48, AK, CAN, GL, SPM)","Dicot","Summer","Yellow","Green","Brown","Stoloniferous","Moderate","","1.5","Short","Decumbent","None","No","Yes","Yes","Low","High","6.0","7.5","10","Tolerant","-33","Mid Summer","Routinely Available","No","Low","No"
"RAHI","","RAHI","Ranunculus hispidus","bristly buttercup","NA (L48, CAN)","Dicot","Spring","Yellow","Gray-Green","Yellow","Single Stem","Rapid","","2.5","Moderate","Erect","None","No","Yes","Yes","Low","Medium","4.5","8.0","4","Tolerant","-33","Early Spring","Routinely Available","No","Medium","No"
"RALO2","","RALO2","Ranunculus longirostris","longbeak buttercup","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Crown","Moderate","","1.0","Short","Semi-Erect","None","No","Yes","Yes","Low","High","5.0","8.0","10","Tolerant","-28","Late Spring","Routinely Available","No","Low","No"
"RAPE2","","RAPE2","Ranunculus pensylvanicus","Pennsylvania buttercup","NA (L48, AK, CAN)","Dicot","Spring and Summer","Yellow","Green","Black","Single Stem","Moderate","","3.9","Short","Erect","None","No","Yes","Yes","Low","High","5.0","7.5","4","Tolerant","-28","Mid Summer","Routinely Available","No","Medium","No"
"RARE3","","RARE3","Ranunculus repens","creeping buttercup","NA (L48, AK, CAN, GL, SPM), HI","Dicot","Spring and Summer","Yellow","Green","Brown","Stoloniferous","Rapid","","2.0","Short","Prostrate","Moderate","No","Yes","Yes","Low","Medium","5.6","7.2","6","Tolerant","-28","Mid Spring","Routinely Available","No","High","No"
"RACO3","","RACO3","Ratibida columnifera","upright prairie coneflower","NA (L48, CAN)","Dicot","Summer","Yellow","Green","Brown","Single Crown","Moderate","","3.1","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","5.9","7.0","14","Intolerant","-43","Mid Summer","Routinely Available","Yes","Medium","No"
"RAPI","","RAPI","Ratibida pinnata","pinnate prairie coneflower","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Crown","Moderate","","4.0","Moderate","Erect","None","Yes","Yes","No","Medium","Medium","5.6","6.8","14","Intolerant","-38","Late Spring","Routinely Available","Yes","Medium","No"
"RHAL","","RHAL","Rhamnus alnifolia","alderleaf buckthorn","NA (L48, CAN)","Dicot","Spring","Green","Green","","Single Stem","Moderate","2","3.0","Moderate","Erect","None","No","Yes","Yes","Low","High","4.0","8.0","12","Tolerant","-33","Late Spring","Routinely Available","Yes","Low","No"
"RHAR3","","RHAR3","Rhododendron arborescens","smooth azalea","NA (L48)","Dicot","Spring and Summer","White","Dark Green","Brown","Multiple Stem","Moderate","18","18","Long","Semi-Erect","None","Yes","Yes","No","Low","Medium","4.2","5.7","12","Tolerant","-13","Late Spring","Routinely Available","Yes","Low","No"
"RHCA6","","RHCA6","Rhododendron canadense","rhodora","NA (L48, CAN, SPM)","Dicot","Spring and Summer","Purple","Dark Green","Brown","Multiple Stem","Moderate","12","18","Long","Semi-Erect","Slight","Yes","Yes","No","Low","High","4.0","5.3","16","Tolerant","-23","Mid Spring","Routinely Available","Yes","Low","No"
"RHCA7","","RHCA7","Rhododendron canescens","mountain azalea","NA (L48)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Slow","13","14","Long","Erect","Slight","No","Yes","Yes","Low","Medium","4.3","5.8","14","Tolerant","-13","Spring","Routinely Available","Yes","Low","No"
"RHMA3","","RHMA3","Rhododendron macrophyllum","Pacific rhododendron","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Dark Green","Black","Multiple Stem","Moderate","10","15","Moderate","Erect","Moderate","No","Yes","Yes","None","High","5.5","7.0","12","Intermediate","7","Spring","Routinely Available","Yes","Medium","No"
"RHMA4","","RHMA4","Rhododendron maximum","great laurel","NA (L48, CAN)","Dicot","Spring and Summer","Red","Dark Green","Brown","Multiple Stem","Slow","15","25","Long","Semi-Erect","Moderate","Yes","Yes","No","High","Medium","4.0","5.5","18","Tolerant","-13","Mid Spring","Routinely Available","Yes","Low","No"
"RHVI2","","RHVI2","Rhododendron viscosum","swamp azalea","NA (L48)","Dicot","Spring","Red","Green","","Multiple Stem","Slow","13","16","Moderate","Erect","None","Yes","Yes","Yes","Medium","High","4.0","7.0","14","Tolerant","-18","Indeterminate","Routinely Available","Yes","Medium","No"
"RHCO","","RHCO","Rhus copallinum","winged sumac","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Moderate","8","8.0","Moderate","Erect","None","Yes","Yes","Yes","Medium","Low","5.3","7.5","14","Intolerant","-28","Mid Spring","Routinely Available","Yes","High","No"
"RHGL","","RHGL","Rhus glabra","smooth sumac","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Rhizomatous","Moderate","12","12","Short","Erect","None","Yes","Yes","No","Medium","Low","5.3","7.5","24","Intolerant","-33","Mid Spring","Routinely Available","Yes","High","No"
"RHMI3","","RHMI3","Rhus microphylla","littleleaf sumac","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Moderate","10","10","Moderate","Rounded","None","Yes","Yes","No","High","Low","7.0","8.5","12","Intolerant","-13","Spring","Routinely Available","Yes","Medium","Yes"
"RHTR","","RHTR","Rhus trilobata","skunkbush sumac","NA (L48, CAN)","Dicot","Spring","Yellow","Green","Red","Rhizomatous","Slow","4","4.0","Moderate","Vase","Slight","Yes","Yes","No","Medium","Low","6.5","8.2","12","Intermediate","-53","Early Spring","Routinely Available","Yes","Low","No"
"RHTY","","RHTY","Rhus typhina","staghorn sumac","NA (L48, CAN)","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RHTY","RHHI2","RHHI2","Rhus hirta","","","","Spring and Summer","Red","Green","Red","Single Crown","Rapid","30","30","Short","Erect","None","Yes","Yes","No","High","Low","4.5","7.2","20","Intermediate","-33","Late Spring","Routinely Available","Yes","Medium","No"
"RIAU","","RIAU","Ribes aureum","golden currant","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Red","Rhizomatous","Moderate","10","10","Long","Erect","None","No","Yes","No","Medium","Low","6.0","8.0","20","Intermediate","-38","Mid Spring","Routinely Available","Yes","High","Yes"
"RICE","","RICE","Ribes cereum","wax currant","NA (L48, CAN)","Dicot","Spring and Summer","White","Dark Green","Red","Multiple Stem","Rapid","3","3.0","Moderate","Rounded","None","Yes","Yes","No","High","Low","6.5","7.5","12","Intolerant","-23","Early Summer","Routinely Available","Yes","Medium","Yes"
"RIIN2","","RIIN2","Ribes inerme","whitestem gooseberry","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Red","Multiple Stem","Moderate","8","8.0","Long","Semi-Erect","None","Yes","Yes","No","Low","Medium","6.0","7.5","12","Tolerant","-28","Mid Spring","Routinely Available","Yes","Medium","No"
"RIMO2","","RIMO2","Ribes montigenum","gooseberry currant","NA (L48, CAN)","Dicot","Spring and Summer","Red","Green","Brown","Multiple Stem","Rapid","1","1.0","Moderate","Erect","None","Yes","Yes","No","High","Medium","7.0","8.0","12","Intermediate","-3","Early Summer","Routinely Available","Yes","High","Yes"
"RITR","","RITR","Ribes triste","red currant","NA (L48, AK, CAN)","Dicot","Summer","Purple","Green","Red","Stoloniferous","Moderate","5","2.0","Short","Erect","None","Yes","Yes","No","Low","Medium","5.0","7.5","12","Tolerant","-62","Late Spring","Routinely Available","Yes","Medium","Yes"
"RONE","","RONE","Robinia neomexicana","New Mexico locust","NA (L48)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Rapid","4","25","Moderate","Irregular","Moderate","Yes","Yes","Yes","Medium","Medium","7.0","8.5","12","Intolerant","-23","Late Spring","Routinely Available","Yes","High","No"
"ROPS","","ROPS","Robinia pseudoacacia","black locust","NA (L48, CAN)","Dicot","Spring","White","Green","Black","Multiple Stem","Rapid","40","60","Short","Erect","None","Yes","Yes","Yes","High","Medium","4.6","8.2","36","Intolerant","-37","Spring","Routinely Available","Yes","High","No"
"ROPA","","ROPA","Rosa palustris","swamp rose","NA (L48, CAN)","Dicot","Summer","Red","Green","Yellow","Rhizomatous","Moderate","8","8.2","Long","Erect","None","No","Yes","Yes","Low","Medium","4.0","7.0","18","Tolerant","-33","Spring","Routinely Available","Yes","Medium","No"
"RORU82","","RORU82","Rosa rubiginosa","sweetbriar rose","NA (L48, CAN)","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RORU82","ROEG","ROEG","Rosa eglanteria","","","","Spring and Summer","Red","Green","Purple","Multiple Stem","Moderate","10","10","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","5.2","7.5","20","Intolerant","-33","Early Summer","Routinely Available","Yes","Medium","No"
"RORU","","RORU","Rosa rugosa","rugosa rose","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","Red","Green","Red","Rhizomatous","Moderate","5","5.0","Long","Semi-Erect","None","Yes","Yes","No","High","Medium","5.5","7.5","14","Intolerant","-33","Mid Spring","Routinely Available","Yes","Medium","No"
"ROWI","","ROWI","Rosa wichuraiana","memorial rose","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Stoloniferous","Rapid","","1.0","Moderate","Prostrate","None","Yes","Yes","No","Medium","Medium","4.8","7.0","16","Intolerant","-23","Late Spring","Routinely Available","Yes","Medium","No"
"ROWO","","ROWO","Rosa woodsii","Woods' rose","NA (L48, AK, CAN)","Dicot","Spring and Summer","Red","Green","Red","Rhizomatous","Rapid","3","3.0","Long","Erect","None","Yes","Yes","No","Medium","Medium","5.0","8.0","12","Intermediate","-43","Late Spring","Routinely Available","Yes","Medium","No"
"ROOF","","ROOF","Rosmarinus officinalis","rosemary","NA (L48), PR","Dicot","Spring and Summer","Blue","Dark Green","Brown","Multiple Stem","Moderate","5","5.0","Long","Semi-Erect","None","Yes","Yes","No","High","Low","5.0","7.5","14","Intolerant","-3","Mid Spring","Routinely Available","Yes","Medium","Yes"
"ROBO","","ROBO","Roystonea borinquena","Puerto Rico royal palm","PR, VI","Monocot","Year Round","Yellow","Green","Brown","Single Crown","Moderate","40","50","Short","Erect","None","Yes","Yes","No","Low","","5.0","7.5","36","Tolerant","40","Winter","Routinely Available","Yes","","No"
"RUAR","","RUAR","Rubus arcticus","arctic raspberry","NA (L48, AK, CAN, SPM)","Dicot","Spring","Red","Green","Red","Rhizomatous","Moderate","2","1.0","Short","","Slight","Yes","No","No","Low","","5.0","7.0","12","Intolerant","-62","Summer","Routinely Available","Yes","High","Yes"
"RUCH","","RUCH","Rubus chamaemorus","cloudberry","NA (L48, AK, CAN, GL, SPM)","Dicot","Spring and Summer","White","Green","Red","Thicket Forming","Rapid","","1.0","Short","Semi-Erect","None","No","Yes","Yes","None","High","4.0","5.2","12","Intermediate","-38","Late Spring","Routinely Available","No","Low","No"
"RUHI","","RUHI","Rubus hispidus","bristly dewberry","NA (L48, CAN)","Dicot","Spring","White","Gray-Green","Black","Single Stem","Moderate","","2.0","Moderate","Prostrate","None","Yes","Yes","Yes","Medium","High","4.5","7.0","12","Intolerant","-38","Spring","Routinely Available","Yes","Low","No"
"RUID","","RUID","Rubus idaeus","American red raspberry","NA (L48, AK, CAN, SPM)","Dicot","Spring","White","Green","Red","Thicket Forming","Moderate","9","6.0","Short","Erect","Slight","No","No","No","High","","5.0","7.5","12","Tolerant","-62","Spring","Routinely Available","Yes","High","Yes"
"RUOC","","RUOC","Rubus occidentalis","black raspberry","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Purple","Thicket Forming","Rapid","5","6.0","Short","Erect","None","No","Yes","Yes","Medium","Medium","5.2","7.5","12","Intermediate","-28","Mid Spring","Routinely Available","Yes","Medium","Yes"
"RUHI2","","RUHI2","Rudbeckia hirta","blackeyed Susan","NA (L48, AK, CAN)","Dicot","Fall, Winter and Spring","Orange","Green","Brown","Single Stem","Rapid","","1.0","Short","Semi-Erect","None","No","Yes","Yes","Medium","Medium","6.0","7.0","10","Intolerant","-23","Summer","Routinely Available","No","Medium","No"
"RULA3","","RULA3","Rudbeckia laciniata","cutleaf coneflower","NA (L48, CAN)","Dicot","Spring","Yellow","Gray-Green","Brown","Rhizomatous","Rapid","","8.2","Short","Erect","None","Yes","Yes","Yes","High","Low","4.5","7.0","12","Tolerant","-38","Late Summer","Routinely Available","Yes","Medium","No"
"RUAR6","","RUAR6","Rumex arcticus","arctic dock","NA (AK, CAN)","Dicot","Spring","Green","Green","Red","Single Stem","Moderate","","1.0","Short","Erect","Slight","Yes","No","No","None","","5.0","7.8","12","Intolerant","-62","Summer","Routinely Available","Yes","High","Yes"
"SACA","","SACA","Sabal causiarum","Puerto Rico palmetto","PR, VI","Monocot","Fall, Winter and Spring","White","Green","Black","Single Stem","Slow","75","50","Short","Erect","None","Yes","Yes","No","Medium","","6.0","8.0","36","Intolerant","28","Summer","Routinely Available","No","","No"
"SAMI8","","SAMI8","Sabal minor","dwarf palmetto","NA (L48)","Monocot","Spring and Summer","White","Gray-Green","Black","Bunch","Slow","4","9.0","Moderate","Erect","None","No","Yes","Yes","None","High","5.5","6.5","18","Tolerant","7","Late Spring","Routinely Available","Yes","Low","No"
"SAGI","","SAGI","Saccharum giganteum","sugarcane plumegrass","NA (L48)","Monocot","Summer","Green","Green","White","Bunch","Rapid","","9.8","Moderate","Erect","None","Yes","Yes","No","None","Medium","3.5","7.0","24","Intolerant","-28","Summer","Routinely Available","No","High","No"
"SAOF","","SAOF","Saccharum officinarum","sugarcane","NA (L48), PR, VI","Monocot","Spring and Summer","White","Green","Brown","Bunch","Rapid","","12","Moderate","Semi-Erect","None","Yes","Yes","Yes","High","Medium","4.0","7.0","24","Intermediate","17","Late Winter","Routinely Available","No","Low","No"
"SARA3","","SARA3","Saccharum ravennae","ravennagrass","NA (L48)","Monocot","Spring and Summer","Yellow","Green","Brown","Bunch","Rapid","","7.0","Short","Erect","None","Yes","Yes","Yes","Medium","Medium","4.8","7.0","14","Intolerant","-8","Early Summer","Routinely Available","Yes","Low","No"
"SACU","","SACU","Sagittaria cuneata","arumleaf arrowhead","NA (L48, AK, CAN)","Monocot","Spring","Yellow","Green","","Bunch","Moderate","","2.6","Moderate","Erect","None","No","Yes","Yes","None","Medium","4.7","8.6","14","Intolerant","-33","Indeterminate","Routinely Available","No","","No"
"SALA2","","SALA2","Sagittaria latifolia","broadleaf arrowhead","NA (L48, CAN), HI, PR","Monocot","Spring","Yellow","Green","","Bunch","Moderate","","4.9","Moderate","Erect","None","No","Yes","Yes","None","High","4.7","8.9","18","Intolerant","-33","Late Spring","Routinely Available","No","","No"
"SADE10","","SADE10","Salicornia depressa","Virginia glasswort","NA (L48, AK, CAN, SPM), HI","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SADE10","SAVI","SAVI","Salicornia virginica","","","","Summer","Green","Green","","Single Crown","Slow","","1.0","Short","Erect","None","Yes","Yes","No","None","Medium","6.6","8.5","6","Intolerant","12","Late Spring","Routinely Available","No","Low","No"
"SAAL2","","SAAL2","Salix alba","white willow","NA (L48, AK, CAN)","Dicot","Spring and Summer","Yellow","Green","White","Single Stem","Rapid","45","70","Moderate","Erect","None","Yes","Yes","Yes","Low","High","4.5","7.8","24","Intolerant","-33","Early Spring","Routinely Available","Yes","Low","No"
"SAAM2","","SAAM2","Salix amygdaloides","peachleaf willow","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","","Multiple Stem","Rapid","45","60","Short","Irregular","None","Yes","Yes","No","Low","High","6.0","8.0","30","Intolerant","-33","Late Spring","Routinely Available","Yes","Low","No"
"SABO2","","SABO2","Salix boothii","Booth's willow","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Black","Multiple Stem","Rapid","24","24","Moderate","Erect","None","Yes","Yes","Yes","Low","High","5.5","8.0","12","Tolerant","13","Late Spring","Routinely Available","Yes","Medium","No"
"SACA5","","SACA5","Salix caroliniana","coastal plain willow","NA (L48)","Dicot","Spring","Green","Green","White","Multiple Stem","Rapid","25","33","Long","Erect","None","Yes","Yes","Yes","Medium","High","4.5","8.8","20","Intermediate","2","Early Spring","Routinely Available","Yes","High","No"
