"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"CALA21","","CALA21","Carya laciniosa","shellbark hickory","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","35","100","Long","Erect","None","Yes","Yes","No","Low","High","5.0","6.6","60","Tolerant","-22","Mid Spring","Routinely Available","Yes","Low","Yes"
"CAMY","","CAMY","Carya myristiciformis","nutmeg hickory","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","30","95","Moderate","Erect","None","No","Yes","Yes","Low","Medium","4.7","6.5","48","Intolerant","-10","Mid Spring","Routinely Available","Yes","High","Yes"
"CAOV2","","CAOV2","Carya ovata","shagbark hickory","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Single Stem","Slow","15","75","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","4.0","7.3","48","Intermediate","-40","Late Spring","Routinely Available","Yes","High","Yes"
"CAMO83","","CAMO83","Castanea mollissima","Chinese chestnut","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Rapid","25","50","Short","Erect","None","Yes","Yes","No","Low","Medium","5.0","7.5","36","Intolerant","-20","Mid Spring","Routinely Available","Yes","High","Yes"
"CACO17","","CACO17","Castilleja coccinea","scarlet Indian paintbrush","NA (L48, CAN)","Dicot","Spring and Summer","Red","Green","Brown","Single Crown","Rapid","","1.6","","Erect","None","No","Yes","No","Low","Medium","4.9","6.8","8","Tolerant","-28","Mid Spring","Routinely Available","No","Medium","No"
"CASE5","","CASE5","Castilleja sessiliflora","downy paintedcup","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Yellow-Green","Brown","Single Crown","Moderate","","1.3","Long","Semi-Erect","None","Yes","Yes","No","High","Low","6.0","7.4","10","Intolerant","-38","Mid Spring","Routinely Available","No","Medium","No"
"CACU8","","CACU8","Casuarina cunninghamiana","river sheoak","NA (L48), PR","Dicot","Spring, Summer, Fall","Red","Green","Brown","Single Stem","Rapid","50","100","Short","Erect","None","Yes","Yes","No","Low","Medium","6.5","7.9","24","Intolerant","22","Mid Spring","Routinely Available","Yes","High","No"
"CAEQ","","CAEQ","Casuarina equisetifolia","beach sheoak","NA (L48), HI, PR, VI","Dicot","Spring, Summer, Fall","Red","Green","Brown","Single Stem","Rapid","50","100","Short","Erect","None","Yes","Yes","No","Low","Medium","6.2","8.8","24","Intolerant","22","Mid Spring","Routinely Available","Yes","High","No"
"CAGL11","","CAGL11","Casuarina glauca","gray sheoak","NA (L48), HI","Dicot","Spring, Summer, Fall","Red","Green","Brown","Single Stem","Rapid","40","60","Short","Erect","None","Yes","Yes","No","Low","Medium","6.5","7.5","24","Intolerant","17","Mid Spring","Routinely Available","Yes","High","No"
"CABI8","","CABI8","Catalpa bignonioides","southern catalpa","NA (L48, CAN)","Dicot","Spring","White","Green","Green","Single Crown","Rapid","66","66","Long","Erect","None","Yes","Yes","No","Medium","Low","5.5","7.5","36","Intermediate","-18","Mid Spring","Routinely Available","Yes","Medium","No"
"CASP8","","CASP8","Catalpa speciosa","northern catalpa","NA (L48, CAN)","Dicot","Spring","White","Dark Green","Brown","Single Stem","Rapid","20","60","Long","Erect","None","Yes","Yes","No","Medium","Low","5.5","7.0","20","Intolerant","-38","Early Summer","Routinely Available","Yes","Medium","No"
"CEAM","","CEAM","Ceanothus americanus","New Jersey tea","NA (L48, CAN)","Dicot","Spring and Summer","Blue","Green","Brown","Multiple Stem","Slow","3","3.0","Moderate","Semi-Erect","None","Yes","Yes","No","High","Low","4.3","6.5","14","Tolerant","-28","Late Spring","Routinely Available","Yes","Low","Yes"
"CECO","","CECO","Ceanothus cordulatus","whitethorn ceanothus","NA (L48)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Slow","4","8.0","Long","Semi-Erect","None","Yes","Yes","No","High","Low","7.0","8.5","20","Intolerant","-23","Early Summer","Routinely Available","Yes","Medium","No"
"CEPR","","CEPR","Ceanothus prostratus","prostrate ceanothus","NA (L48)","Dicot","Spring and Summer","Purple","Dark Green","Red","Thicket Forming","Slow","","0.5","Long","Prostrate","None","Yes","Yes","No","High","Low","7.1","8.5","14","Tolerant","-23","Early Spring","Routinely Available","Yes","Low","No"
"CEDE2","","CEDE2","Cedrus deodara","Deodar cedar","NA (L48)","Gymnosperm","Spring","Green","Dark Green","Green","Single Stem","Rapid","35","60","Long","Erect","None","Yes","Yes","Yes","High","Low","6.0","7.5","20","Tolerant","-15","Late Summer","Routinely Available","Yes","Medium","No"
"CEOR7","","CEOR7","Celastrus orbiculatus","Oriental bittersweet","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Orange","Thicket Forming","Rapid","30","30","Moderate","Columnar","None","Yes","Yes","Yes","Medium","High","5.0","7.5","18","Tolerant","-38","Spring","Routinely Available","Yes","Medium","No"
"CESC","","CESC","Celastrus scandens","American bittersweet","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Orange","Thicket Forming","Rapid","","15","Moderate","Columnar","None","Yes","Yes","Yes","Medium","High","5.0","7.5","18","Tolerant","-38","Spring","Routinely Available","Yes","Medium","No"
"CELA","","CELA","Celtis laevigata","sugarberry","NA (L48)","Dicot","Spring and Summer","Green","Green","Orange","Single Stem","Moderate","35","80","Moderate","Erect","None","No","Yes","Yes","Low","High","4.4","7.7","24","Tolerant","-21","Early Spring","Routinely Available","Yes","Medium","No"
"CELAR","","CELAR","Celtis laevigata var. reticulata","netleaf hackberry","NA (L48)","Dicot","Spring and Summer","Green","Green","White","Multiple Stem","Rapid","8","20","Moderate","Erect","None","Yes","Yes","No","High","Low","5.9","8.3","12","Intolerant","-42","Mid Spring","Routinely Available","Yes","High","Yes"
"CEOC","","CEOC","Celtis occidentalis","common hackberry","NA (L48, CAN)","Dicot","Spring and Summer","Green","Green","Purple","Single Stem","Rapid","26","60","Moderate","Erect","None","Yes","Yes","Yes","High","Low","6.0","7.8","36","Tolerant","-47","Mid Spring","Routinely Available","Yes","Medium","No"
"CEOC2","","CEOC2","Cephalanthus occidentalis","common buttonbush","NA (L48, CAN)","Dicot","Spring","White","Green","White","Multiple Stem","Moderate","15","15","Short","Erect","None","Yes","Yes","Yes","Medium","High","4.7","8.6","14","Tolerant","-33","Summer","Routinely Available","Yes","High","No"
"CEDE4","","CEDE4","Ceratophyllum demersum","coon's tail","NA (L48, AK, CAN), HI, PR, VI","Dicot","Summer","Blue","Gray-Green","White","Multiple Stem","Rapid","","","Moderate","Prostrate","None","Yes","Yes","Yes","None","High","6.0","8.6","0","Intermediate","-38","Summer","Routinely Available","No","High","No"
"CECA4","","CECA4","Cercis canadensis","eastern redbud","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Slow","25","30","Short","Erect","None","No","Yes","Yes","High","Low","5.0","7.9","24","Tolerant","-28","Spring","Routinely Available","Yes","Medium","Yes"
"CECAT","","CECAT","Cercis canadensis var. texensis","Texas redbud","NA (L48)","Dicot","Spring","Red","Dark Green","Brown","Multiple Stem","Rapid","12","12","Short","Rounded","None","No","Yes","Yes","High","Low","6.0","8.0","20","Tolerant","-8","Early Spring","Routinely Available","Yes","Medium","Yes"
"CELE3","","CELE3","Cercocarpus ledifolius","curl-leaf mountain mahogany","NA (L48)","Dicot","Spring, Summer, Fall","Yellow","Green","Brown","Multiple Stem","Moderate","20","20","Long","Erect","Slight","Yes","Yes","No","High","Low","5.5","8.7","20","Intermediate","-47","Early Spring","Routinely Available","Yes","Low","No"
